Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or 3d Party,Critical Risk
5/12/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances
5/11/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
5/14/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
5/17/2016 0:00,Country_01,Local_11,Others,I,II,Male,Employee,Others
5/19/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
5/18/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Others
5/22/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Blocking and isolation of energies
5/20/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level)
5/22/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
5/24/2016 0:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Fall
5/12/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
