Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or 3d Party,Critical Risk
1/28/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment
1/31/2017 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Others
1/31/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Vehicles and Mobile Equipment
2/1/2017 0:00,Country_03,Local_10,Others,I,II,Male,Third Party,Projection/Choco
2/4/2017 0:00,Country_02,Local_02,Mining,I,III,Male,Employee,Manual Tools
2/5/2017 0:00,Country_03,Local_10,Others,I,II,Male,Employee,Others
2/7/2017 0:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
2/7/2017 0:00,Country_01,Local_03,Mining,II,V,Male,Employee,remains of choco
2/8/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Cut
2/8/2017 0:00,Country_02,Local_08,Metals,I,II,Female,Third Party,Others
2/8/2017 0:00,Country_02,Local_08,Metals,I,I,Male,Third Party (Remote),Pressed
2/8/2017 0:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Cut
2/8/2017 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Machine Protection
2/9/2017 0:00,Country_01,Local_03,Mining,IV,V,Male,Third Party (Remote),Power lock
2/8/2017 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party (Remote),Manual Tools
2/13/2017 0:00,Country_02,Local_08,Metals,II,III,Male,Employee,Pressed
2/13/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Projection
2/13/2017 0:00,Country_02,Local_05,Metals,III,IV,Male,Employee,Burn
2/14/2017 0:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Pressed
2/15/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
2/16/2017 0:00,Country_01,Local_03,Mining,I,II,Female,Third Party (Remote),Fall
2/17/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Projection/Manual Tools
2/17/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Chemical substances
2/17/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection
2/23/2017 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Vehicles and Mobile Equipment
2/23/2017 0:00,Country_02,Local_07,Mining,I,III,Male,Third Party (Remote),Venomous Animals
2/25/2017 0:00,Country_01,Local_01,Mining,IV,IV,Male,Third Party (Remote),Fall
2/25/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Projection
2/25/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
2/26/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Fall
2/26/2017 0:00,Country_02,Local_07,Mining,I,IV,Male,Employee,Fall prevention
2/27/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,remains of choco
2/27/2017 0:00,Country_02,Local_02,Mining,III,IV,Male,Employee,Others
3/1/2017 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party (Remote),Others
3/2/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
3/2/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
3/2/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
3/4/2017 0:00,Country_02,Local_02,Mining,I,V,Male,Employee,Vehicles and Mobile Equipment
3/6/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party (Remote),Fall
3/8/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
3/9/2017 0:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Vehicles and Mobile Equipment
3/8/2017 0:00,Country_01,Local_01,Mining,V,V,Male,Third Party,Vehicles and Mobile Equipment
3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection
3/10/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Individual protection equipment
3/15/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
3/15/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
3/15/2017 0:00,Country_02,Local_08,Metals,II,IV,Female,Employee,Chemical substances
3/18/2017 0:00,Country_01,Local_03,Mining,V,V,Male,Third Party (Remote),Power lock
3/22/2017 0:00,Country_01,Local_06,Metals,V,V,Male,Third Party (Remote),Power lock
3/25/2017 0:00,Country_01,Local_03,Mining,II,V,Male,Third Party,Vehicles and Mobile Equipment
3/25/2017 0:00,Country_03,Local_10,Others,I,I,Male,Employee,Others
3/31/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Third Party,Fall prevention
4/4/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances
4/5/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Suspended Loads
4/7/2017 0:00,Country_02,Local_02,Mining,I,III,Male,Third Party (Remote),Others
4/4/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
4/6/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
4/7/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Fall prevention
4/10/2017 0:00,Country_02,Local_02,Mining,I,II,Male,Third Party,Chemical substances
4/8/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock
4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock
4/11/2017 0:00,Country_02,Local_07,Mining,I,II,Male,Third Party (Remote),Others
4/13/2017 0:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
4/12/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
4/23/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
4/19/2017 0:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Others
4/23/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Projection
4/25/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
4/25/2017 0:00,Country_02,Local_07,Mining,IV,V,Male,Employee,remains of choco
4/25/2017 0:00,Country_01,Local_01,Mining,IV,IV,Male,Employee,Pressed
